Topic,Answer
Opening Hours,"The clinic is open Monday to Friday from 8:00 AM to 5:00 PM, and Saturday from 9:00 AM to 1:00 PM. Closed on Sundays."
What to Bring,"Please bring a valid ID, your insurance card (if applicable), and any previous medical records or prescriptions relevant to your visit."
Parking,Free patient parking is available at the main entrance. Overflow parking is located behind the building.
Cancellation Policy,Appointments can be cancelled or rescheduled up to 24 hours in advance without charge. Late cancellations may incur a small fee.
Insurance,We accept most major insurance providers. Please contact the front desk to confirm if your specific plan is accepted.
New Patient Registration,"New patients should arrive 15 minutes early to complete registration paperwork, or complete it online before their visit."
Emergency Contact,"For medical emergencies, please call emergency services immediately. This clinic handles non-emergency appointments only."
Lab Results,Lab results are typically available within 2-3 business days and can be accessed through the patient portal or by calling the clinic.
Prescription Refills,Prescription refill requests can be submitted through the patient portal or by calling the pharmacy directly at least 48 hours before you run out.
Telehealth,Telehealth consultations are available for select services. Ask the front desk or your doctor if your appointment qualifies.
